2026-06-28 02:27:49.107 [info] Extension host with pid 27171 started
2026-06-28 02:27:49.107 [info] Skipping acquiring lock for /home/alex/.config/Code - OSS/User/workspaceStorage/efd4827682e744e6a86bd23cbf5888b5.
2026-06-28 02:27:49.148 [info] ExtensionService#_doActivateExtension vscode.github-authentication, startup: false, activationEvent: 'onAuthenticationRequest:github'
2026-06-28 02:27:49.165 [info] ExtensionService#_doActivateExtension vscode.emmet, startup: false, activationEvent: 'onLanguage'
2026-06-28 02:27:49.213 [info] ExtensionService#_doActivateExtension vscode.git-base, startup: true, activationEvent: '*'
2026-06-28 02:27:49.221 [info] ExtensionService#_doActivateExtension vscode.github, startup: true, activationEvent: '*'
2026-06-28 02:27:49.236 [info] Eager extensions activated
2026-06-28 02:27:49.237 [info] ExtensionService#_doActivateExtension vscode.debug-auto-launch, startup: false, activationEvent: 'onStartupFinished'
2026-06-28 02:27:49.239 [info] ExtensionService#_doActivateExtension vscode.merge-conflict, startup: false, activationEvent: 'onStartupFinished'
2026-06-28 02:33:43.424 [info] ExtensionService#_doActivateExtension vscode.configuration-editing, startup: false, activationEvent: 'onLanguage:jsonc'
2026-06-28 02:33:43.429 [info] ExtensionService#_doActivateExtension vscode.json-language-features, startup: false, activationEvent: 'onLanguage:jsonc'
2026-06-28 02:33:43.474 [info] ExtensionService#_doActivateExtension vscode.typescript-language-features, startup: false, activationEvent: 'onLanguage:jsonc'
2026-06-28 02:39:30.518 [info] ExtensionService#_doActivateExtension vscode.simple-browser, startup: false, activationEvent: 'onOpenExternalUri:https'
